external_id;name;cycle;area;subarea;country;district;city;campus;duration;ects;modality;regime;language;annual_fee;monthly_fee;enrollment_fee;months_per_year;total_estimate;exams;min_grade;access_routes;career_paths;degree_awarded;qualification_level;qnq_level;eqf_level;accreditation_status;accreditation_entity;accreditation_valid_until;dges_registration;cnaef_code;vacancies;numerus_clausus;scholarships;payment_options;source_url;public_url;description;partners;employment_rate;completion_rate;student_profile;teaching_method;target_audience;student_housing;active;hide_course;hide_price;public_listing;candidaturas
PIL-OEI-001;Licenciatura em Pilotagem;Licenciatura;Náutica e Transportes Marítimos;Pilotagem / Navegação;Portugal;Lisboa;Oeiras;Paço de Arcos;3 anos;180;Presencial;Diurno;Português;697;69,7;;10;2091;"Matemática (16); ou Física e Química (07) e Matemática (16); ou Geografia (09) e Matemática (16); ou Economia (04) e Matemática (16)";9,5;"Concurso Nacional de Acesso; Concursos especiais (Maiores de 23); Titulares de outros cursos superiores; Titulares de cursos técnicos superiores profissionais (CTeSP)";"Oficial de náutica da marinha mercante; Comandante de navio; Prático de barra e porto";Licenciado em Pilotagem;Nível 6;6;6;Acreditado;A3ES – Agência de Avaliação e Acreditação do Ensino Superior;;7105/9789;840;31;;"Bolsas de ação social (DGES); Bolsas de mérito";Pagamento anual ou fracionado em prestações mensais;https://www.enautica.pt/pt/cursos-4/licenciaturas-9/pilotagem/licenciatura-em-pilotagem-7;https://www.enautica.pt/pt/cursos-4/licenciaturas-9/pilotagem/licenciatura-em-pilotagem-7;Curso que forma oficiais de náutica da marinha mercante, segundo os padrões da Convenção STCW da Organização Marítima Internacional. Inclui formação em navegação, marinharia e gestão do navio.;;;;Estudantes com aptidão para ciências exatas (matemática e física), gosto pela vida no mar e disponibilidade para períodos de embarque.;Ensino presencial diurno com forte componente prática (laboratórios, simuladores de navegação e estágio embarcado), segundo os padrões da Convenção STCW da Organização Marítima Internacional.;Concluintes do ensino secundário e candidatos por concursos especiais (Maiores de 23, titulares de CTeSP) que pretendam uma carreira de oficial de náutica na marinha mercante.;Residência universitária disponível (Serviços de Ação Social);1;0;0;1;"Concurso Nacional de Acesso|1.ª fase|2026-07-20|2026-08-06; Concurso Nacional de Acesso|2.ª fase|2026-08-24|2026-09-02; Concurso Nacional de Acesso|3.ª fase|2026-09-22|2026-09-24; Maiores de 23 anos|Fase única||; Titulares de outros cursos superiores|Fase única||; Titulares de cursos técnicos superiores profissionais (CTeSP)|Fase única||"
EMM-OEI-002;Licenciatura em Engenharia de Máquinas Marítimas;Licenciatura;Engenharia;Engenharia de Máquinas Marítimas;Portugal;Lisboa;Oeiras;Paço de Arcos;3 anos;180;Presencial;Diurno;Português;697;69,7;;10;2091;"Física e Química (07); Matemática (16)";9,5;"Concurso Nacional de Acesso; Concursos especiais (Maiores de 23); Titulares de outros cursos superiores; Titulares de cursos técnicos superiores profissionais (CTeSP)";"Oficial maquinista da marinha mercante; Engenheiro de máquinas; Superintendente técnico";Licenciado em Engenharia de Máquinas Marítimas;Nível 6;6;6;Acreditado;A3ES – Agência de Avaliação e Acreditação do Ensino Superior;;7105/9745;525;39;;"Bolsas de ação social (DGES); Bolsas de mérito";Pagamento anual ou fracionado em prestações mensais;https://www.enautica.pt/pt/cursos-4/licenciaturas-9/engenharia-de-maquinas-maritimas/licenciatura-em-engenharia-de-maquinas-maritimas-8;https://www.enautica.pt/pt/cursos-4/licenciaturas-9/engenharia-de-maquinas-maritimas/licenciatura-em-engenharia-de-maquinas-maritimas-8;Forma oficiais maquinistas da marinha mercante (padrões STCW/IMO), com competências em operação e manutenção dos sistemas de propulsão e auxiliares do navio.;;;;Estudantes com interesse em mecânica, sistemas de propulsão e engenharia, com boa aptidão para matemática e física.;Ensino presencial diurno com forte componente prática (laboratórios, oficinas, simuladores e estágio embarcado), segundo os padrões da Convenção STCW da Organização Marítima Internacional.;Concluintes do ensino secundário e candidatos por concursos especiais (Maiores de 23, titulares de CTeSP) que pretendam uma carreira de oficial maquinista na marinha mercante.;Residência universitária disponível (Serviços de Ação Social);1;0;0;1;"Concurso Nacional de Acesso|1.ª fase|2026-07-20|2026-08-06; Concurso Nacional de Acesso|2.ª fase|2026-08-24|2026-09-02; Concurso Nacional de Acesso|3.ª fase|2026-09-22|2026-09-24; Maiores de 23 anos|Fase única||; Titulares de outros cursos superiores|Fase única||; Titulares de cursos técnicos superiores profissionais (CTeSP)|Fase única||"
EEM-OEI-003;Licenciatura em Engenharia Eletrotécnica Marítima;Licenciatura;Engenharia;Engenharia Eletrotécnica Marítima;Portugal;Lisboa;Oeiras;Paço de Arcos;3 anos;180;Presencial;Diurno;Português;697;69,7;;10;2091;"Matemática (16); ou Matemática A (19); ou Matemática A (19) com uma de Desenho (03), Economia (04), Física e Química (07), Geometria Descritiva (10), Português (18) ou Biologia e Geologia (02)";9,5;"Concurso Nacional de Acesso; Concursos especiais (Maiores de 23); Titulares de outros cursos superiores; Titulares de cursos técnicos superiores profissionais (CTeSP)";"Oficial eletrotécnico da marinha mercante; Técnico de sistemas elétricos e eletrónicos navais";Licenciado em Engenharia Eletrotécnica Marítima;Nível 6;6;6;Acreditado;A3ES – Agência de Avaliação e Acreditação do Ensino Superior;;7105/L118;522;24;;"Bolsas de ação social (DGES); Bolsas de mérito";Pagamento anual ou fracionado em prestações mensais;https://www.enautica.pt/pt/cursos-4/licenciaturas-9/;https://www.enautica.pt/pt/cursos-4/licenciaturas-9/;Forma oficiais eletrotécnicos da marinha mercante (padrões STCW/IMO), com competências em sistemas elétricos, eletrónicos e de automação de bordo.;;;;Estudantes com interesse em sistemas elétricos, eletrónica e automação, com boa aptidão para matemática e física.;Ensino presencial diurno com forte componente prática (laboratórios de eletrotecnia e eletrónica, simuladores e estágio embarcado), segundo os padrões da Convenção STCW da Organização Marítima Internacional.;Concluintes do ensino secundário e candidatos por concursos especiais (Maiores de 23, titulares de CTeSP) que pretendam uma carreira de oficial eletrotécnico na marinha mercante.;Residência universitária disponível (Serviços de Ação Social);1;0;0;1;"Concurso Nacional de Acesso|1.ª fase|2026-07-20|2026-08-06; Concurso Nacional de Acesso|2.ª fase|2026-08-24|2026-09-02; Concurso Nacional de Acesso|3.ª fase|2026-09-22|2026-09-24; Maiores de 23 anos|Fase única||; Titulares de outros cursos superiores|Fase única||; Titulares de cursos técnicos superiores profissionais (CTeSP)|Fase única||"
DGH-EST-001;Licenciatura em Direção e Gestão Hoteleira;Licenciatura;Hotelaria e Turismo;Gestão Hoteleira;Portugal;Lisboa;Cascais;Estoril;3 anos;180;Presencial;Diurno;Português;697;69,7;;10;2091;"Geografia (09); ou Português (18); ou Economia (04) e Mat. Apl. Ciências Sociais (17); ou Economia (04) e Português (18); ou Matemática A (19) e Português (18); ou Matemática (16) e Português (18); ou Economia (04) e Matemática (16); ou Economia (04) e Matemática A (19)";9,5;"Concurso Nacional de Acesso; Concursos especiais (Maiores de 23); Titulares de outros cursos superiores; Titulares de cursos técnicos superiores profissionais (CTeSP)";"Diretor de hotel; Gestor de alojação; Gestor de food & beverage (F&B)";Licenciado em Direção e Gestão Hoteleira;Nível 6;6;6;Acreditado;A3ES – Agência de Avaliação e Acreditação do Ensino Superior;;7110/9076;811;124;;"Bolsas de ação social (DGES); Bolsas de mérito";Pagamento anual ou fracionado em prestações mensais;https://www.eshte.pt/pt/artigos/licenciaturas/direccao-e-gestao-hoteleira;https://www.eshte.pt/pt/artigos/licenciaturas/direccao-e-gestao-hoteleira;Licenciatura orientada para a gestão de unidades hoteleiras, com forte componente prática e estágios. Prepara para funções de direção e gestão operacional em hotelaria.;;;;Estudantes com interesse em gestão, hospitalidade e serviço ao cliente, com perfil de liderança e boa capacidade de comunicação.;"Ensino presencial diurno com forte componente prática e estágios em unidades hoteleiras; articula formação científica em gestão com competências operacionais de hotelaria.";Concluintes do ensino secundário e candidatos por concursos especiais que pretendam uma carreira de direção e gestão em hotelaria.;Residência universitária disponível (Serviços de Ação Social);1;0;0;1;"Concurso Nacional de Acesso|1.ª fase|2026-07-20|2026-08-06; Concurso Nacional de Acesso|2.ª fase|2026-08-24|2026-09-02; Concurso Nacional de Acesso|3.ª fase|2026-09-22|2026-09-24; Maiores de 23 anos|Fase única||; Titulares de outros cursos superiores|Fase única||; Titulares de cursos técnicos superiores profissionais (CTeSP)|Fase única||"
GTU-EST-002;Licenciatura em Gestão Turística;Licenciatura;Hotelaria e Turismo;Gestão Turística;Portugal;Lisboa;Cascais;Estoril;3 anos;180;Presencial;Diurno;Português;697;69,7;;10;2091;"Geografia (09); ou Português (18); ou Economia (04) e Português (18); ou Geografia (09) e Matemática (16); ou Geografia (09) e Português (18); ou Matemática (16) e Português (18); ou Economia (04) e Geografia (09); ou Economia (04) e Matemática (16)";9,5;"Concurso Nacional de Acesso; Concursos especiais (Maiores de 23); Titulares de outros cursos superiores; Titulares de cursos técnicos superiores profissionais (CTeSP)";"Gestor de empresas turísticas; Gestor de destinos e produtos turísticos; Técnico de turismo";Licenciado em Gestão Turística;Nível 6;6;6;Acreditado;A3ES – Agência de Avaliação e Acreditação do Ensino Superior;;7110/9177;812;111;;"Bolsas de ação social (DGES); Bolsas de mérito";Pagamento anual ou fracionado em prestações mensais;https://www.eshte.pt/pt/artigos/licenciaturas/gestao-turistica;https://www.eshte.pt/pt/artigos/licenciaturas/gestao-turistica;Licenciatura em gestão turística com duas áreas de especialização a partir do 3.º semestre: Gestão de Empresas Turísticas e Gestão de Destinos e Produtos Turísticos.;;;;Estudantes com interesse em turismo, gestão e relações interculturais, com boa capacidade de comunicação e línguas.;"Ensino presencial diurno com componente prática e estágios; integra gestão, planeamento e marketing turístico.";Concluintes do ensino secundário e candidatos por concursos especiais que pretendam trabalhar na gestão de empresas e destinos turísticos.;Residência universitária disponível (Serviços de Ação Social);1;0;0;1;"Concurso Nacional de Acesso|1.ª fase|2026-07-20|2026-08-06; Concurso Nacional de Acesso|2.ª fase|2026-08-24|2026-09-02; Concurso Nacional de Acesso|3.ª fase|2026-09-22|2026-09-24; Maiores de 23 anos|Fase única||; Titulares de outros cursos superiores|Fase única||; Titulares de cursos técnicos superiores profissionais (CTeSP)|Fase única||"
GLA-EST-003;Licenciatura em Gestão do Lazer e Animação Turística;Licenciatura;Hotelaria e Turismo;Animação Turística;Portugal;Lisboa;Cascais;Estoril;3 anos;180;Presencial;Diurno;Português;697;69,7;;10;2091;"Geografia (09); ou Português (18); ou Inglês (13) e Português (18); ou Mat. Apl. Ciências Sociais (17) e Português (18); ou Geografia (09) e Mat. Apl. Ciências Sociais (17); ou Inglês (13) e Mat. Apl. Ciências Sociais (17); ou Geografia (09) e Inglês (13)";9,5;"Concurso Nacional de Acesso; Concursos especiais (Maiores de 23); Titulares de outros cursos superiores; Titulares de cursos técnicos superiores profissionais (CTeSP)";"Animador turístico; Gestor de eventos e lazer; Técnico de animação turística";Licenciado em Gestão do Lazer e Animação Turística;Nível 6;6;6;Acreditado;A3ES – Agência de Avaliação e Acreditação do Ensino Superior;;7110/9163;812;89;;"Bolsas de ação social (DGES); Bolsas de mérito";Pagamento anual ou fracionado em prestações mensais;https://www.eshte.pt/;https://www.eshte.pt/;Licenciatura focada na conceção e gestão de atividades de lazer, recreação e animação em contexto turístico.;;;;Estudantes criativos, dinâmicos e com gosto pela animação, eventos e atividades de lazer ao ar livre.;Ensino presencial diurno com forte componente prática, trabalho de campo e estágios em animação e organização de eventos.;Concluintes do ensino secundário e candidatos por concursos especiais que pretendam trabalhar em animação turística, lazer e organização de eventos.;Residência universitária disponível (Serviços de Ação Social);1;0;0;1;"Concurso Nacional de Acesso|1.ª fase|2026-07-20|2026-08-06; Concurso Nacional de Acesso|2.ª fase|2026-08-24|2026-09-02; Concurso Nacional de Acesso|3.ª fase|2026-09-22|2026-09-24; Maiores de 23 anos|Fase única||; Titulares de outros cursos superiores|Fase única||; Titulares de cursos técnicos superiores profissionais (CTeSP)|Fase única||"
ENF-CBR-001;Licenciatura em Enfermagem;Licenciatura;Saúde;Enfermagem;Portugal;Coimbra;Coimbra;Coimbra;4 anos;240;Presencial;Diurno;Português;697;69,7;;10;2788;"Biologia e Geologia (02); ou Biologia e Geologia (02) e Mat. Apl. Ciências Sociais (17); ou Biologia e Geologia (02) e Matemática (16); ou Biologia e Geologia (02) e Português (18); ou Biologia e Geologia (02) e Física e Química (07)";10;"Concurso Nacional de Acesso; Concursos especiais (Maiores de 23); Titulares de outros cursos superiores; Titulares de cursos técnicos superiores profissionais (CTeSP)";Enfermeiro de cuidados gerais;Licenciado em Enfermagem;Nível 6;6;6;Acreditado;A3ES – Agência de Avaliação e Acreditação do Ensino Superior;31/07/2028;7240/9500;723;311;;"Bolsas de ação social (DGES); Bolsas de mérito";Pagamento anual ou fracionado em prestações mensais;https://www.esenfc.pt/;https://www.esenfc.pt/;Ciclo de estudos de 8 semestres (240 ECTS) que confere o grau de licenciado e habilita ao exercício da profissão de enfermeiro de cuidados gerais. Existe preferência regional (50% das vagas).;;;;Estudantes com aptidão para as ciências da saúde e da vida, sentido de responsabilidade e vocação para o cuidado da pessoa.;"Ensino presencial; licenciatura de 8 semestres (240 ECTS) com forte componente de ensino clínico e estágios em contexto hospitalar e comunitário.";"Candidatos ao ensino superior que pretendem exercer Enfermagem; acesso por concurso nacional com pré-requisito do Grupo A (comunicação interpessoal).";Residência universitária disponível (Serviços de Ação Social);1;0;0;1;"Concurso Nacional de Acesso|1.ª fase|2026-07-20|2026-08-06; Concurso Nacional de Acesso|2.ª fase|2026-08-24|2026-09-02; Concurso Nacional de Acesso|3.ª fase|2026-09-22|2026-09-24; Maiores de 23 anos|Fase única||; Titulares de outros cursos superiores|Fase única||; Titulares de cursos técnicos superiores profissionais (CTeSP)|Fase única||"
MEC-CBR-002;Mestrado em Enfermagem Comunitária;Mestrado;Saúde;Enfermagem;Portugal;Coimbra;Coimbra;Coimbra;3 semestres;90;Presencial;Diurno;Português;;;;;;;;Titulares de licenciatura em Enfermagem ou equivalente legal;Enfermeiro especialista em Enfermagem Comunitária;Mestre em Enfermagem Comunitária;Nível 7;7;7;Acreditado;A3ES – Agência de Avaliação e Acreditação do Ensino Superior;;;723;;;Bolsas de ação social (DGES);Pagamento anual ou fracionado em prestações mensais;https://www.esenfc.pt/pt/courses/100043;https://www.esenfc.pt/pt/courses/100043;Mestrado dirigido a enfermeiros, nas áreas de Enfermagem de Saúde Comunitária e de Saúde Pública ou Enfermagem de Saúde Familiar.;;;;Enfermeiros licenciados com experiência clínica que pretendem especializar-se na prestação de cuidados de enfermagem à comunidade, família e grupos populacionais.;Ensino presencial pós-laboral, com componente teórica, prática clínica e estágio supervisionado em contexto de cuidados de saúde primários e comunitários.;Enfermeiros licenciados;;1;0;0;1;Titulares de licenciatura em Enfermagem ou equivalente legal|Fase única||
MER-CBR-003;Mestrado em Enfermagem de Reabilitação;Mestrado;Saúde;Enfermagem;Portugal;Coimbra;Coimbra;Coimbra;3 semestres;90;B/learning;Presencial;Português;;;;;;;;Titulares de licenciatura em Enfermagem ou equivalente legal;Enfermeiro especialista em Enfermagem de Reabilitação;Mestre em Enfermagem de Reabilitação;Nível 7;7;7;Acreditado;A3ES – Agência de Avaliação e Acreditação do Ensino Superior;;;723;;;Bolsas de ação social (DGES);Pagamento anual ou fracionado em prestações mensais;https://www.esenfc.pt/;https://www.esenfc.pt/;Mestrado dirigido a enfermeiros para desenvolvimento de competências especializadas em Enfermagem de Reabilitação.;;;;Enfermeiros licenciados que pretendem desenvolver competências especializadas na reabilitação de pessoas com limitações funcionais.;Ensino presencial pós-laboral, articulando formação teórica, treino de competências e ensino clínico supervisionado em reabilitação.;Enfermeiros licenciados;;1;0;0;1;Titulares de licenciatura em Enfermagem ou equivalente legal|Fase única||
ENF-LX-001;Licenciatura em Enfermagem;Licenciatura;Saúde;Enfermagem;Portugal;Lisboa;Lisboa;Lisboa;4 anos;240;Presencial;Diurno;Português;697;69,7;;10;2788;"Biologia e Geologia (02); ou Biologia e Geologia (02) e Física e Química (07); ou Biologia e Geologia (02) e Matemática A (19); ou Biologia e Geologia (02) e Português (18)";9,5;"Concurso Nacional de Acesso; Concursos especiais (Maiores de 23); Titulares de outros cursos superiores; Titulares de cursos técnicos superiores profissionais (CTeSP)";Enfermeiro de cuidados gerais;Licenciado em Enfermagem;Nível 6;6;6;Acreditado;A3ES – Agência de Avaliação e Acreditação do Ensino Superior;;7260/9500;723;278;;"Bolsas de ação social (DGES); Bolsas de mérito";Pagamento anual ou fracionado em prestações mensais;https://www.esel.pt/node/6930;https://www.esel.pt/node/6930;Licenciatura em Enfermagem de 8 semestres (240 ECTS). Cálculo de candidatura: 50% média do secundário + 50% provas de ingresso. Desde 1/1/2026 integrada na Universidade de Lisboa.;;;;Estudantes com aptidão para as ciências da saúde, sentido ético e vocação para o cuidado da pessoa e da comunidade.;"Ensino presencial; licenciatura de 8 semestres (240 ECTS) com ensino clínico e estágios em instituições de saúde.";"Candidatos ao ensino superior que pretendem exercer Enfermagem; acesso por concurso nacional com pré-requisito do Grupo A.";Residência universitária disponível (Serviços de Ação Social);1;0;0;1;"Concurso Nacional de Acesso|1.ª fase|2026-07-20|2026-08-06; Concurso Nacional de Acesso|2.ª fase|2026-08-24|2026-09-02; Concurso Nacional de Acesso|3.ª fase|2026-09-22|2026-09-24; Maiores de 23 anos|Fase única||; Titulares de outros cursos superiores|Fase única||; Titulares de cursos técnicos superiores profissionais (CTeSP)|Fase única||"
